Unnamed: 0,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word,annotation
6593,P514292.42.6,lubaʾʾiu[seek]V,lu-ba-ʾi-u],lubaʾʾiu,buʾʾû,seek,V,"['𒇻', '𒁀', '𒀪', '𒌋']",𒇻𒁀𒀪𒌋,[lu-ba-ʾi-u],"['missing', 'missing', 'missing', 'missing']",1.0,,P514292,42,6,penalties for litigation: penalty
6594,P514292.43.1,Dadaya[]PN$,{[m}da]-da-a-a,Dadaya,Dadaya,1,PN,"['𒁹', '𒁕', '𒁕', '𒀀', '𒀀']",𒁹𒁕𒁕𒀀𒀀,{[m]}[da]-da-a-a,"['missing', 'missing', 'complete', 'complete', 'complete']",0.4,PN,P514292,43,1,penalties for litigation: penalty
6595,P514292.43.2,u,⸢x⸣,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514292,43,2,penalties for litigation: penalty
6596,P514292.43.3,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,43,3,penalties for litigation: penalty
6597,P514292.45.1,šību[witness]N,[IGI],šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,P514292,45,1,witness
6598,P514292.45.2,Ululayu[]PN$Ululaya,{[m]}{⸢iti⸣}KIN-[a-a,Ululaya,Ululayu,1,PN,"['𒁹', '𒌗', '𒆥', '𒀀', '𒀀']",𒁹𒌗𒆥𒀀𒀀,{[m]}{⸢ITI⸣}KIN-[a-a],"['missing', 'damaged', 'complete', 'missing', 'missing']",0.7,PN,P514292,45,2,witness
6599,P514292.45.3,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,45,3,witness
6600,P514292.45.4,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,45,4,witness
6601,P514292.45.5,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,45,5,witness
6602,P514292.45.6,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,45,6,witness
6603,P514292.45.7,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,45,7,witness
6604,P514292.45.8,u,...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,45,8,witness
6605,P514292.47.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,P514292,47,1,witness
6606,P514292.47.2,u,...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,47,2,witness
6607,P514292.47.3,u,⸢x⸣,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514292,47,3,witness
6608,P514292.47.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,47,4,witness
6609,P514292.49.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,49,1,witness
6610,P514292.49.2,limmu[eponym (of year)]N,lim-[mu,limmu,līmu,eponym (of year),N,"['𒅆', '𒈬']",𒅆𒈬,lim-[mu],"['complete', 'missing']",0.5,,P514292,49,2,witness
6611,P514292.49.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,49,3,witness
6612,P514292.50.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,50,1,witness
6613,P514292.50.2,u,⸢x,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514292,50,2,witness
6614,P514292.50.3,u,x⸣,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514292,50,3,witness
6615,P514292.50.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,P514292,50,4,witness
6616,P514292.52.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,P514292,52,1,witness
6617,P514292.52.2,u,{m}x,,,,u,"['𒁹', 'X']",𒁹X,{[m]}[x],"['missing', 'missing']",1.0,,P514292,52,2,witness
6618,P514292.52.3,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,52,3,witness
6619,P514292.52.4,u,x],,,,u,['X'],X,[x],['missing'],1.0,,P514292,52,4,witness
6620,P514292.52.5,X,⸢ta-bal-a⸣-a,,,,X,"['𒋫', '𒁄', '𒀀', '𒀀']",𒋫𒁄𒀀𒀀,⸢ta-bal-a⸣-a,"['damaged', 'damaged', 'damaged', 'complete']",0.38,,P514292,52,5,witness
6621,P514292.52.6,šību[witness]N,IGI,šību,šību,witness,N,['𒅆'],𒅆,IGI,['complete'],0.0,,P514292,52,6,witness
6622,P514292.52.7,Za-x[]PN$,{m}⸢za⸣-[x-x-x],Za-x,Za-x,1,PN,"['𒁹', '𒍝', 'X', 'X', 'X']",𒁹𒍝XXX,{m}⸢za⸣-[x-x-x],"['complete', 'damaged', 'missing', 'missing', 'missing']",0.7,PN,P514292,52,7,witness
6623,P514292.52.8,u,⸢x⸣,,,,u,['X'],X,⸢x⸣,['damaged'],0.5,,P514292,52,8,witness
6624,P514292.52.9,u,[x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,52,9,witness
6625,P514292.52.10,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,52,10,witness
6626,P514292.52.11,u,x],,,,u,['X'],X,[x],['missing'],1.0,,P514292,52,11,witness
6627,P514292.53.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,P514292,53,1,witness
6628,P514292.53.2,x-deni-amur[]PN$x-denu-amur,{m}x-x-de]-e-nu-a-⸢mur,x-denu-amur,x-deni-amur,1,PN,"['𒁹', 'X', 'X', '𒁲', '𒂊', '𒉡', '𒀀', '𒄯']",𒁹XX𒁲𒂊𒉡𒀀𒄯,{[m]}[x-x-de]-e-nu-a-⸢mur⸣,"['missing', 'missing', 'missing', 'missing', 'complete', 'complete', 'complete', 'damaged']",0.56,PN,P514292,53,2,witness
6629,P514292.53.3,šību[witness]N,IGI⸣,šību,šību,witness,N,['𒅆'],𒅆,⸢IGI⸣,['damaged'],0.5,,P514292,53,3,witness
6630,P514292.53.4,Šunu-ahhe[]PN$,{m}šu-nu-PAB.MEŠ,Šunu-ahhe,Šunu-ahhe,1,PN,"['𒁹', '𒋗', '𒉡', '𒉽', '𒈨𒌍']",𒁹𒋗𒉡𒉽𒈨𒌍,{m}šu-nu-PAB.MEŠ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,P514292,53,4,witness
6631,P514292.53.5,šību[witness]N,IGI,šību,šību,witness,N,['𒅆'],𒅆,IGI,['complete'],0.0,,P514292,53,5,witness
6632,P514292.53.6,u,{⸢m⸣}[x,,,,u,"['𒁹', 'X']",𒁹X,{⸢m⸣}[x],"['damaged', 'missing']",0.75,,P514292,53,6,witness
6633,P514292.53.7,u,x,,,,u,['X'],X,[x],['missing'],1.0,,P514292,53,7,witness
6634,P514292.53.8,u,x],,,,u,['X'],X,[x],['missing'],1.0,,P514292,53,8,witness
6635,P514292.54.1,šību[witness]N,[IGI,šību,šību,witness,N,['𒅆'],𒅆,[IGI],['missing'],1.0,,P514292,54,1,witness
6636,P514292.54.2,x-taklak[]PN$,{m}x-x-tak]-⸢lak⸣,x-taklak,x-taklak,1,PN,"['𒁹', 'X', 'X', '𒋳', '𒋃']",𒁹XX𒋳𒋃,{[m]}[x-x-tak]-⸢lak⸣,"['missing', 'missing', 'missing', 'missing', 'damaged']",0.9,PN,P514292,54,2,witness
6637,P514292.54.3,šību[witness]N,IGI,šību,šību,witness,N,['𒅆'],𒅆,IGI,['complete'],0.0,,P514292,54,3,witness
6638,P514292.54.4,Ilu-paniya[]PN$,{m}DINGIR-pa-ni-ia,Ilu-paniya,Ilu-paniya,1,PN,"['𒁹', '𒀭', '𒉺', '𒉌', '𒅀']",𒁹𒀭𒉺𒉌𒅀,{m}DINGIR-pa-ni-ia,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,P514292,54,4,witness
6639,P514292.54.5,šību[witness]N,IGI,šību,šību,witness,N,['𒅆'],𒅆,IGI,['complete'],0.0,,P514292,54,5,witness
6640,P514292.54.6,Qurdi-x[]PN$,{m}qur-⸢di⸣-[x-x-x],Qurdi-x,Qurdi-x,1,PN,"['𒁹', '𒄥', '𒁲', 'X', 'X', 'X']",𒁹𒄥𒁲XXX,{m}qur-⸢di⸣-[x-x-x],"['complete', 'complete', 'damaged', 'missing', 'missing', 'missing']",0.58,PN,P514292,54,6,witness
